Trip ID,Traveller Name,Departure Date,Return Date,Departure City,Arrival City,Activities
1,Kaley Dickerson,30/06/2024,05/07/2024,Lisbon,Milan,"Scavenger Hunts, Pub Crawls, Cooking Classes, Concerts, Segway Tours"
2,Nathalie Richardson,31/10/2024,09/11/2024,Barcelona,Rome,"Football Matches, Escape Rooms, Theater Performances, Kayaking, Zip Line Adventures"
3,Kristopher Mayo,03/06/2024,08/06/2024,Paris,Milan,"Theater Performances, Football Matches, Kayaking, Cultural Festivals, Segway Tours"
4,Lila Fritz,10/11/2024,14/11/2024,Prague,Madrid,"Cooking Classes, Concerts, Beach Volleyball, Scavenger Hunts, Theme Parks"
5,Tobias Ball,12/12/2024,22/12/2024,London,Barcelona,"Theme Parks, Hot Air Balloon Rides, Rock Climbing, Football Matches, Art Exhibitions"
6,Shyla Frederick,23/03/2024,26/03/2024,Rome,Florence,"Kayaking, Football Matches, Sightseeing Tours, Theater Performances, Art Exhibitions"
7,Jaylynn Shepard,25/10/2024,01/11/2024,Munich,Brussels,"Theme Parks, Scavenger Hunts, Beach Volleyball, Food Tours, Kayaking"
8,Kenzie Franco,14/04/2024,17/04/2024,Prague,Budapest,"Art Exhibitions, Cultural Festivals, Zip Line Adventures, Hiking Excursions, River Cruises"
9,Lucia Hicks,02/07/2024,16/07/2024,Budapest,Dublin,"Food Tours, Segway Tours, Football Matches, Hiking Excursions, Dancing Classes"
10,Kieran Alexander,30/12/2024,03/01/2025,Zurich,Florence,"Beach Volleyball, Karaoke Nights, Theme Parks, Group Cycling Tours, Wine Tasting"
11,Jerome Dalton,12/09/2024,16/09/2024,Munich,Madrid,"Segway Tours, Theme Parks, Group Cycling Tours, Theater Performances, Scavenger Hunts"
12,Phoenix Gibbs,28/02/2024,03/03/2024,London,Dublin,"Zip Line Adventures, Karaoke Nights, River Cruises, Food Tours, Wine Tasting"
